,img,valence,arousal
0,3053,0.0,0.921847246891652
1,3102,0.0128022759601706,0.8632326820603908
2,3000,0.0398293029871977,0.9982238010657194
3,3064,0.0199146514935988,0.83303730017762
4,3170,0.0213371266002844,0.9751332149200712
5,3080,0.0241820768136557,0.9769094138543516
6,3063,0.0256045519203413,0.822380106571936
7,3131,0.0284495021337126,0.8685612788632328
8,9410,0.0284495021337126,0.9502664298401422
9,3015,0.0298719772403982,0.7424511545293074
10,3120,0.0355618776671408,0.9094138543516874
11,3168,0.0355618776671408,0.7602131438721137
12,3266,0.0355618776671408,0.9005328596802843
13,3130,0.0384068278805121,0.9325044404973356
14,3100,0.0412517780938833,0.8472468916518651
15,3001,0.0440967283072546,0.8738898756660746
16,9940,0.0440967283072546,0.9644760213143874
17,9075,0.0497866287339971,0.7673179396092363
18,9040,0.0512091038406827,0.7282415630550623
19,9570,0.0526315789473684,0.7850799289520426
20,9183,0.054054054054054,0.8632326820603908
21,3069,0.0554765291607396,0.9431616341030196
22,3010,0.0682788051209103,0.9840142095914742
23,9413,0.0640113798008534,0.9040852575488456
24,6563,0.0654338549075391,0.911190053285968
25,2800,0.0668563300142247,0.6696269982238011
26,2095,0.0682788051209103,0.6269982238010657
27,3060,0.0682788051209103,0.9591474245115452
28,3110,0.0682788051209103,0.8845470692717585
29,3068,0.069701280227596,0.8969804618117229
30,3301,0.069701280227596,0.6198934280639432
31,3530,0.069701280227596,0.9058614564831262
32,3059,0.0711237553342816,0.8454706927175845
33,9187,0.0711237553342816,0.8401420959147425
34,3225,0.0725462304409673,0.7513321492007106
35,3261,0.0725462304409673,0.7158081705150977
36,3140,0.0739687055476529,0.8241563055062168
37,9405,0.0739687055476529,0.7744227353463589
38,9412,0.0739687055476529,0.8880994671403197
39,9433,0.0753911806543385,0.7406749555950266
40,3062,0.0796586059743954,0.7211367673179397
41,3071,0.081081081081081,0.9129662522202489
42,3350,0.081081081081081,0.7104795737122558
43,9325,0.0825035561877667,0.7619893428063943
44,3016,0.0839260312944523,0.7282415630550623
45,6350,0.0839260312944523,0.9893428063943164
46,2703,0.0853485064011379,0.7211367673179397
47,3030,0.0853485064011379,0.8952042628774423
48,3101,0.0853485064011379,0.6891651865008881
49,3180,0.0867709815078236,0.7193605683836589
50,6520,0.0896159317211948,0.8650088809946714
51,2205,0.0910384068278805,0.4991119005328597
52,3191,0.0910384068278805,0.7513321492007106
53,9571,0.0924608819345661,0.6962699822380106
54,9185,0.0938833570412517,0.6980461811722914
55,6313,0.0953058321479374,0.927175843694494
56,9252,0.0953058321479374,0.8738898756660746
57,9253,0.0981507823613086,0.6767317939609238
58,3230,0.1009957325746799,0.6554174067495561
59,9254,0.1024182076813655,0.7673179396092363
60,9800,0.1038406827880512,0.7690941385435169
61,9921,0.1038406827880512,0.8525754884547069
62,3195,0.1066856330014224,0.8241563055062168
63,9220,0.1066856330014224,0.4049733570159858
64,9414,0.1066856330014224,0.8472468916518651
65,9910,0.1066856330014224,0.7957371225577266
